gene_index_978	pr_gene_id	gene_symbol	signed_log2fc	direction	n_pairs	n_probes	comparison	role
0	5720	PSME1	0.4173075155	up	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
1	466	ATF1	0.4787563849	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
2	6009	RHEB	0.7568057469	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
3	2309	FOXO3	0.05537442715	up	30	3	tumor_vs_normal	CRC_DISEASE_SIGNATURE
4	387	RHOA	0.06113951504	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
5	3553	IL1B	1.789082669	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
6	427	ASAH1	0.1624892602	up	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
7	5898	RALA	0.2680332645	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
8	23365	ARHGEF12	-0.2056362836	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
9	6657	SOX2	0.009196605548	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
10	5054	SERPINE1	1.049873754	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
11	3108	HLA-DMA	-0.639430355	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
12	1950	EGF	-0.09383651478	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
13	351	APP	-0.03332225675	down	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
14	4846	NOS3	0.690343859	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
15	1452	CSNK1A1	0.2513593104	up	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
16	4776	NFATC4	-0.1142049329	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
17	6908	TBP	0.5759586211	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
18	672	BRCA1	1.344156541	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
20	2115	ETV1	-0.0294839137	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
23	2185	PTK2B	-0.2571531307	down	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
24	3315	HSPB1	-0.2657352279	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
25	5289	PIK3C3	0.07926816452	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
26	868	CBLB	0.225474921	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
27	1677	DFFB	0.810814472	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
28	7043	TGFB3	-0.02186540725	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
29	5613	PRKX	0.4725576258	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
30	595	CCND1	1.361009993	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
31	4793	NFKBIB	0.4834956486	up	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
32	2736	GLI2	0.004148021973	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
33	5290	PIK3CA	0.1270044227	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
34	6194	RPS6	0.7247367734	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
35	1676	DFFA	0.3682434078	up	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
36	23512	SUZ12	0.8225322277	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
37	148022	TICAM1	-0.01638817322	down	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
38	1906	EDN1	0.2478918431	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
39	8878	SQSTM1	0.4202856839	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
40	3091	HIF1A	0.6611429852	up	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
41	5743	PTGS2	1.11107118	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
42	5321	PLA2G4A	-0.03380073904	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
43	4144	MAT2A	0.5983508446	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
44	1981	EIF4G1	0.05313215008	up	30	3	tumor_vs_normal	CRC_DISEASE_SIGNATURE
45	695	BTK	-0.7390811502	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
46	10398	MYL9	-1.368387452	down	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
47	5708	PSMD2	0.4091822662	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
48	1213	CLTC	0.2467030631	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
49	226	ALDOA	0.05613134364	up	30	4	tumor_vs_normal	CRC_DISEASE_SIGNATURE
50	6777	STAT5B	0.1098289195	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
51	2113	ETS1	0.08117119232	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
52	3329	HSPD1	0.3246178573	up	30	3	tumor_vs_normal	CRC_DISEASE_SIGNATURE
53	1050	CEBPA	0.2136581688	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
54	9491	PSMF1	0.2723937242	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
55	22926	ATF6	0.4895404692	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
56	5899	RALB	-0.1404471937	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
57	5467	PPARD	-0.02306702335	down	30	3	tumor_vs_normal	CRC_DISEASE_SIGNATURE
58	6774	STAT3	0.1969728386	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
59	1788	DNMT3A	0.02937767957	up	30	3	tumor_vs_normal	CRC_DISEASE_SIGNATURE
60	5921	RASA1	0.09005990238	up	30	3	tumor_vs_normal	CRC_DISEASE_SIGNATURE
61	5721	PSME2	0.6406517412	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
63	808	CALM3	-0.05240727047	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
64	30001	ERO1A	1.365896748	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
65	348	APOE	-0.6636859971	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
66	30849	PIK3R4	0.6089579361	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
67	1454	CSNK1E	0.4862432638	up	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
68	6500	SKP1	0.1785458857	up	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
69	5627	PROS1	0.05409274073	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
70	5715	PSMD9	0.04069348895	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
71	4791	NFKB2	0.3720772499	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
72	56924	PAK6	0.7793637512	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
73	2690	GHR	-1.535124912	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
74	1019	CDK4	1.970404409	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
75	51422	PRKAG2	-0.3038680996	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
76	5788	PTPRC	0.0332802789	up	30	3	tumor_vs_normal	CRC_DISEASE_SIGNATURE
77	6709	SPTAN1	0.05819756677	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
78	1277	COL1A1	2.053032518	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
79	993	CDC25A	1.128412872	up	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
80	7157	TP53	0.2899896181	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
81	1958	EGR1	-0.1266549662	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
82	4582	MUC1	-0.005702511784	down	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
83	9212	AURKB	1.966904873	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
85	6790	AURKA	2.638990763	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
