gene_index_978	pr_gene_id	gene_symbol	source_transcript_id	source_refseq	source_pvalue	source_fold_change_signed	signed_log2fc	direction	comparison	role
14	1465	CSRP1	2450865	NM_004078	0.00131104	-2.7035	-1.434828356	down	tumor_vs_normal	CRC_DISEASE_SIGNATURE
55	10398	MYL9	3883921	NM_181526	0.00141854	-2.24019	-1.163621099	down	tumor_vs_normal	CRC_DISEASE_SIGNATURE
141	10797	MTHFD2	2489172	NM_001040409	0.000309963	2.19193	1.132201726	up	tumor_vs_normal	CRC_DISEASE_SIGNATURE
161	10953	TOMM34	3907111	NM_006809	0.000426243	2.01851	1.013290734	up	tumor_vs_normal	CRC_DISEASE_SIGNATURE
207	5347	PLK1	3653072	NM_005030	0.00356765	2.02735	1.019595176	up	tumor_vs_normal	CRC_DISEASE_SIGNATURE
214	1277	COL1A1	3762198	NM_000088	0.0161152	3.23048	1.691748543	up	tumor_vs_normal	CRC_DISEASE_SIGNATURE
247	4638	MYLK	2692447	NM_053025	0.000146919	-2.21629	-1.148146669	down	tumor_vs_normal	CRC_DISEASE_SIGNATURE
303	991	CDC20	2333136	NM_001255	0.0357313	2.32393	1.216566613	up	tumor_vs_normal	CRC_DISEASE_SIGNATURE
360	1001	CDH3	3666366	NM_001793	0.00621545	2.35444	1.235383958	up	tumor_vs_normal	CRC_DISEASE_SIGNATURE
461	4312	MMP1	3388807	NM_002421	0.0152354	2.98203	1.576294772	up	tumor_vs_normal	CRC_DISEASE_SIGNATURE
610	595	CCND1	3338192	NM_053056	0.000739327	2.05248	1.037368164	up	tumor_vs_normal	CRC_DISEASE_SIGNATURE
681	6696	SPP1	2735027	NM_001040058	0.00161701	5.18796	2.375167356	up	tumor_vs_normal	CRC_DISEASE_SIGNATURE
702	8480	RAE1	3890555	NM_001015885	0.000258466	2.0085	1.006118461	up	tumor_vs_normal	CRC_DISEASE_SIGNATURE
798	891	CCNB1	2813414	NM_031966	0.000289489	2.34666	1.23060883	up	tumor_vs_normal	CRC_DISEASE_SIGNATURE
972	7264	TSTA3	3157660	NM_003313	0.00647142	2.21188	1.145273118	up	tumor_vs_normal	CRC_DISEASE_SIGNATURE
